IdTeam,TeamName,CoachName,CoachCountry
43929,Peru,GARECA Ricardo,Argentina
43872,Morocco,RENARD Herve,France
43855,Egypt,CUPER Hector,Argentina
43817,IR Iran,QUEIROZ Carlos,Portugal
43911,Mexico,OSORIO Juan Carlos,Colombia
43835,Saudi Arabia,PIZZI Juan Antonio,Spain
43970,Sweden,ANDERSSON Janne,Sweden
43946,France,DESCHAMPS Didier,France
43879,Senegal,CISSE Aliou,Senegal
43938,Croatia,DALIC Zlatko,Croatia
43962,Poland,NAWALKA Adam,Poland
43924,Brazil,TITE,Brazil
43819,Japan,NISHINO Akira,Japan
43926,Colombia,PEKERMAN Jose,Argentina
43969,Spain,HIERRO Fernando,Spain
43971,Switzerland,PETKOVIC Vladimir,Switzerland
43941,Denmark,HAREIDE Age,Norway
43914,Panama,GOMEZ Hernan,Colombia
43888,Tunisia,MAALOUL Nabil,Tunisia
43930,Uruguay,TABAREZ Oscar,Uruguay
43963,Portugal,SANTOS Fernando,Portugal
43976,Australia,VAN MARWIJK Bert,Netherlands
43948,Germany,LÃ–W Joachim,Germany
43901,Costa Rica,RAMIREZ Oscar,Costa Rica
1902465,Serbia,KRSTAJIC Mladen,Serbia
43951,Iceland,HALLGRIMSSON Heimir,Iceland
43942,England,SOUTHGATE Gareth,England
43876,Nigeria,ROHR Gernot,Germany
43922,Argentina,SAMPAOLI Jorge,Argentina
43822,Korea Republic,SHIN Taeyong,Korea Republic
43965,Russia,CHERCHESOV Stanislav,Russia
43935,Belgium,MARTINEZ Roberto,Spain
